Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Honda,Civic,2015,natural gas,110.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,38,27,2202,29390
Ford,Transit Connect,2015,regular unleaded,169.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Cargo Minivan,29,21,5657,23330
Lincoln,Navigator,2017,regular unleaded,380.0,6.0,AUTOMATIC,four wheel drive,4.0,Luxury,Large,4dr SUV,20,15,61,66770
Kia,Sorento,2016,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,25,19,1720,32900
Honda,Civic,2017,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Coupe,39,30,2202,20950
Hyundai,Sonata,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,25,1439,23400
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,22,17,1385,37680
Kia,K900,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,23,15,1720,54500
Dodge,RAM 250,1993,regular unleaded,230.0,8.0,MANUAL,four wheel drive,2.0,,Large,Extended Cab Pickup,15,12,1851,2220
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,31495
Ford,Ranger,2011,regular unleaded,207.0,6.0,MANUAL,rear wheel drive,4.0,,Compact,Extended Cab Pickup,21,16,5657,22640
Hyundai,Veloster,2016,regular unleaded,132.0,4.0,MANUAL,front wheel drive,3.0,Hatchback,Compact,2dr Hatchback,35,27,1439,18000
Ford,Explorer,2016,flex-fuel (unleaded/E85),290.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,23,16,5657,33050
Nissan,GT-R,2017,premium unleaded (required),565.0,6.0,AUTOMATED_MANUAL,all wheel drive,2.0,High-Performance,Midsize,Coupe,22,16,2009,109990
Chevrolet,Traverse,2017,regular unleaded,281.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,1385,34100
Suzuki,Forenza,2008,regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,28,20,481,14989
FIAT,500e,2015,electric,,0.0,DIRECT_DRIVE,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,108,122,819,31800
Saab,9-3,2009,premium unleaded (recommended),210.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,28,19,376,34150
Ford,Explorer,2015,flex-fuel (unleaded/E85),290.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Flex Fuel,Performance",Midsize,4dr SUV,23,17,5657,35000
GMC,Sierra 1500 Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4.0,Hybrid,Large,Crew Cab Pickup,23,20,549,48335
Subaru,Loyale,1992,regular unleaded,90.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,29,22,640,2000
Volvo,XC70,2015,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,Wagon,24,17,870,41800
Lamborghini,Aventador,2016,premium unleaded (required),700.0,12.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Exotic,High-Performance",Midsize,Convertible,17,10,1158,443800
Honda,Pilot,2016,regular unleaded,280.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,19,2202,36055
Mazda,B-Series Truck,2007,regular unleaded,148.0,6.0,MANUAL,rear wheel drive,4.0,,Compact,Extended Cab Pickup,21,16,586,19040
Land Rover,LR2,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,24,17,258,39100
Volkswagen,New Beetle,2010,regular unleaded,150.0,5.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,29,20,873,20390
Infiniti,G37,2009,premium unleaded (required),325.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Midsize,Convertible,24,16,190,43900
Honda,Odyssey,2015,regular unleaded,248.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Passenger Minivan,28,19,2202,32275
Mercedes-Benz,GLA-Class,2015,premium unleaded (required),208.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,32,24,617,33300
Volkswagen,Beetle,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,31,23,873,25995
Buick,Enclave,2017,regular unleaded,288.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,155,47625
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,31,21,873,29695
Mazda,CX-5,2015,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Crossover,Midsize,4dr SUV,35,26,586,21545
Buick,LeSabre,2005,regular unleaded,205.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,27,18,155,32385
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Diesel,Compact,Extended Cab Pickup,25,19,1385,27545
Volkswagen,Jetta Hybrid,2013,premium unleaded (required),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Hybrid,Midsize,Sedan,48,42,873,26990
Toyota,Tacoma,2016,regular unleaded,278.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,24,19,2031,28345
Hyundai,Veloster,2014,regular unleaded,201.0,4.0,MANUAL,front wheel drive,3.0,"Hatchback,Performance",Compact,2dr Hatchback,33,24,1439,22300
Dodge,Challenger,2017,regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Large,Coupe,23,15,1851,32890
Lexus,ES 300,2001,premium unleaded (required),210.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,454,31505
Mercedes-Benz,350-Class,1991,diesel,134.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Large,Sedan,23,19,617,2311
Nissan,Frontier,2015,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,21,15,2009,27630
Lincoln,MKC,2017,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,25,19,61,47880
Subaru,Impreza WRX,2014,premium unleaded (required),265.0,4.0,MANUAL,all wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,25,19,640,28495
Chevrolet,Silverado 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,17,13,1385,35160
Acura,RL,2010,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,204,46830
Hyundai,Elantra GT,2015,regular unleaded,173.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,34,24,1439,18800
Dodge,Durango,2016,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Large,4dr SUV,25,18,1851,44990
Acura,RLX,2016,premium unleaded (recommended),310.0,6.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,20,204,60450
Subaru,Justy,1992,regular unleaded,73.0,3.0,MANUAL,four wheel drive,4.0,Hatchback,Compact,4dr Hatchback,29,24,640,2000
Mercedes-Benz,GLE-Class Coupe,2016,premium unleaded (required),362.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,4dr SUV,23,17,617,65100
GMC,Yukon XL,2015,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,4dr SUV,23,16,549,58925
Oldsmobile,Ninety-Eight,1995,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,26,17,26,2000
Scion,xB,2013,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,28,22,105,17920
Suzuki,Aerio,2006,regular unleaded,155.0,4.0,AUTOMATIC,all wheel drive,4.0,,Compact,Sedan,26,21,481,16099
Audi,A5,2016,premium unleaded (required),220.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Midsize,Convertible,29,21,3105,47900
Cadillac,CTS-V Coupe,2014,premium unleaded (required),556.0,8.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,14,1624,63600
GMC,S-15,1990,regular unleaded,160.0,6.0,MANUAL,four wheel drive,2.0,,Compact,Extended Cab Pickup,19,15,549,2000
Subaru,BRZ,2015,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,30,22,640,25695
Chevrolet,Silverado 1500,2015,regular unleaded,355.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Crew Cab Pickup,23,16,1385,42560
Cadillac,ATS,2015,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Compact,Sedan,28,20,1624,46715
Bentley,Flying Spur,2016,premium unleaded (required),500.0,8.0,AUTOMATIC,all wheel drive,4.0,"Exotic,Luxury,High-Performance",Large,Sedan,24,14,520,201000
Nissan,Stanza,1991,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,26,19,2009,2000
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,24,18,1385,33215
Plymouth,Sundance,1992,regular unleaded,93.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,29,23,535,2000
